		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

LTR	Gypsy	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	131	0	219	0	193	285	588	356	584	1943	921	655	809	318	632	420	149	274	251	0	148	133	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Copia	0	5566	0	8812	9714	3477	6328	6611	6411	11768	16495	23654	30712	19051	16519	26466	30201	49217	50608	27608	24688	22574	13262	10595	3768	5354	1903	1155	205	362	72	190	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Mariner	6264	28118	318845	375624	146236	71629	25049	13577	13739	24704	16981	23888	26662	31166	27891	25482	22059	24198	22785	19175	20985	12266	13854	9187	9236	7817	6290	6014	3388	1559	2674	1394	1797	1406	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Tc1	1115	2179	3643	6879	11576	25576	36485	28724	23088	20628	10313	11126	20712	55935	88959	53801	58152	37112	36007	29464	33709	22688	28933	29319	32890	23087	14091	5674	3982	3494	1399	1342	1008	453	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	PiggyBac	0	0	41	120	335	665	1245	2862	2359	4121	5169	6355	9830	9993	13997	12204	10736	10320	12465	8746	6300	7490	2873	3468	1572	990	306	136	0	392	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Sola-2	7876	4908	6684	984	1457	1372	3541	8828	8570	8599	8967	10290	6268	8959	4033	4313	5627	5360	5668	2063	4111	2869	4115	2075	2005	350	144	52	163	117	133	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Tigger	0	0	0	0	0	93	167	417	332	647	1171	1718	1247	1761	1974	1370	815	1220	366	284	173	245	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	CMC-EnSpm	0	48468	9115	3254	4488	1400	2238	2002	2404	1126	2797	1256	2487	1580	1691	975	683	1159	318	186	385	277	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA	0	0	0	0	70	0	13766	15117	12343	12490	1142	1793	1942	2521	2719	0	1105	3124	2116	1318	897	795	1522	1296	3289	2859	5169	4955	4890	3330	4142	1614	1817	1478	1206	152	370	407	29	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Ac	0	478	0	5921	18844	43288	23613	30444	53864	37326	35126	34182	32263	27575	17969	11289	24639	17600	14692	11150	3727	5241	3158	2411	3421	1153	820	458	280	331	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC	Helitron	0	0	0	0	0	0	240	150	629	1417	3429	2407	7597	7392	7892	17411	23976	24788	16229	22212	25186	23168	26197	27753	18068	10450	7721	4470	2967	561	185	92	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Merlin	0	0	0	0	0	0	0	0	63	65	0	0	0	478	157	363	701	1362	908	2322	1169	1360	2397	2088	812	1226	911	191	416	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	Unknown	88552	139272	129950	168060	150322	226605	306834	270856	258757	253940	237579	245424	277890	275998	468994	434019	440238	467825	473412	465620	484333	443659	388172	325532	263544	194982	137200	101146	62351	46121	30217	18359	9392	6663	1722	1708	532	412	0	123	0	0	0	0	0	0	0	0	0	0
