			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

rnd-1_family-35	Unknown	Unknown	0	0	0	0	0	0	45	38	0	470	832	1704	3955	5030	5275	4337	5628	4984	4462	4057	3059	1538	1986	574	810	595	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1402	Unknown	Unknown	0	0	296	0	0	0	0	0	56	51	70	58	186	136	279	494	767	1032	1960	1046	1615	2136	1853	1762	1473	1440	1267	421	839	469	252	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1284	DNA	TcMar-Mariner	0	0	0	0	5040	7529	528	2059	3783	5069	2544	1621	662	216	127	25	91	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-65	Unknown	Unknown	0	0	0	375	1052	667	530	134	0	0	146	144	134	95	0	585	75	218	275	256	36	211	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1950	Unknown	Unknown	0	0	0	0	0	269	1576	264	1616	506	0	1985	3905	4827	1084	1686	1418	410	2098	1141	1712	1243	1594	963	1134	322	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-71	Unknown	Unknown	0	70	278	65	344	138	0	56	188	183	0	63	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-650	DNA	DNA	0	0	0	0	70	0	13766	15117	12343	12490	1142	1793	1942	2521	2719	0	1105	3124	2116	1318	897	795	1522	1296	3289	2859	5169	4955	4890	3330	4142	1614	1817	1478	1206	152	370	407	29	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1869	Unknown	Unknown	0	0	0	0	0	2797	0	42	9075	9631	15014	3439	8155	13339	10652	14040	11402	13615	11398	12543	8355	7457	2955	3059	2235	150	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-2	Unknown	Unknown	307	649	2852	2200	7222	15933	10569	21824	14680	8498	3263	2762	3024	458	364	170	174	246	0	79	60	0	57	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-4698	Unknown	Unknown	0	0	661	2030	157	1437	276	0	84	114	0	0	0	268	729	1047	712	129	0	0	453	602	435	105	278	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4319	Unknown	Unknown	0	0	0	0	0	0	0	0	0	995	170	818	58	84	890	3376	5594	2248	3525	7797	6311	6436	3872	1521	376	0	299	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1296	Unknown	Unknown	0	0	0	0	42	0	0	0	147	158	1082	597	721	563	3248	5136	8557	13966	13657	16033	14176	12816	7180	4321	3563	2617	976	298	414	321	421	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1811	Unknown	Unknown	0	0	0	0	0	39	127	303	171	157	451	703	348	916	827	1851	802	346	1303	638	232	434	269	28	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-321	Unknown	Unknown	0	0	2699	3637	427	2864	8013	7729	4959	777	795	2004	1266	11626	171547	75980	13704	9007	7514	8148	3999	3980	5097	11330	6546	11369	11026	4270	1511	969	534	85	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-337	Unknown	Unknown	0	0	0	31	0	0	63	0	0	0	0	332	626	703	780	1759	1632	688	1669	2997	2655	1525	1013	1037	706	0	129	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-23	Unknown	Unknown	0	0	0	0	65	60	66	100	97	999	2728	1246	1114	428	233	43	0	34	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-151	Unknown	Unknown	0	0	0	0	291	0	0	0	0	0	0	144	343	200	141	185	944	797	790	2337	1600	2103	2948	3867	3233	3617	5329	5561	2979	3291	1692	1236	780	469	212	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1540	DNA	Sola-2	7876	4908	6684	984	1457	1372	3541	8828	8570	8599	8967	10290	6268	8959	4033	4313	5627	5360	5668	2063	4111	2869	4115	2075	2005	350	144	52	163	117	133	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-945	DNA	TcMar-Mariner	0	0	72	8916	171	774	7740	5009	4528	5364	2703	4392	6807	5478	4969	5558	5793	8202	9329	8530	7349	5398	3086	1579	390	582	393	269	225	0	52	45	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-4573	Unknown	Unknown	0	1383	183	732	379	2812	1707	1533	760	482	157	533	374	571	1556	1029	1406	1571	1699	3966	1797	1440	161	98	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-60	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
