State (Emission order)	Genome %	CpGIsland.bee.bed	beeExon.bee.bed	beeGene.bee.bed	beeTES.bee.bed	beeTSS.bee.bed	beeTSS2kb.bee.bed	drone_expressed_exons.bed	drone_expressed_genes.bed	drone_repressed_exons.bed	drone_repressed_genes.bed	known_repeats.bed	queen_expressed_exons.bed	queen_expressed_genes.bed	queen_repressed_exons.bed	queen_repressed_genes.bed	repeats_regions.bed	unknown_repeats.bed	worker_expressed_exons.bed	worker_expressed_genes.bed	worker_repressed_exons.bed	worker_repressed_genes.bed
1	0.91149	2.39630	3.10367	1.20389	0.82516	8.10862	3.52139	3.32444	2.08179	0.30987	0.42266	0.31854	3.23201	1.45887	0.26788	0.33784	0.29129	0.27748	3.48164	2.75129	0.56633	0.62102
2	1.83390	1.45456	1.90598	1.19630	0.74663	1.43862	1.48336	2.00422	1.90661	0.69305	0.56956	0.28386	1.96736	1.42091	0.59595	0.42145	0.28851	0.30000	2.01738	1.97700	1.17639	0.91119
3	0.47477	3.88178	5.18053	1.25241	1.08320	6.26017	4.30981	5.58711	2.40752	0.01592	0.21268	0.55533	5.41531	1.54538	0.00000	0.25150	0.24201	0.08982	5.93364	3.64737	0.05320	0.32451
4	4.72693	0.68659	3.99792	1.19836	2.76070	0.26583	1.64762	4.30591	2.29725	0.00995	0.20241	0.15508	4.17243	1.47095	0.02164	0.25331	0.15099	0.14991	4.57538	3.43739	0.02435	0.32428
5	0.51861	3.35708	4.32203	1.13733	2.31795	0.84042	1.04427	4.66950	1.96608	0.26719	0.44357	0.65714	4.52401	1.37798	0.46638	0.36903	0.86410	0.94171	4.95564	2.44208	0.21221	0.65872
6	0.84421	1.01815	4.99246	1.20644	2.17780	0.75246	2.28912	5.38516	2.40272	0.01181	0.11378	0.07922	5.21918	1.50892	0.00778	0.14180	0.07665	0.07470	5.72207	3.67924	0.03113	0.23880
7	2.06827	0.85305	1.40828	1.10313	1.01635	3.22600	1.76380	1.46635	1.75843	0.67001	0.51772	0.49060	1.44545	1.28879	0.58249	0.46032	0.62524	0.70742	1.46517	1.99819	1.02152	0.76521
8	52.30201	0.26835	0.48169	0.95398	1.15977	0.62004	0.88355	0.45592	0.78142	0.81299	1.10600	1.11074	0.46466	0.86661	0.85802	1.25497	1.26692	1.33790	0.43640	0.70627	0.79057	1.04897
9	1.59106	1.08930	0.72119	1.06336	0.23838	0.60325	0.73057	0.69005	1.28833	1.11604	0.86889	0.44409	0.70464	1.21113	1.12256	0.54480	0.37929	0.34753	0.61760	0.88693	1.43100	1.14024
10	3.82510	2.44746	0.87279	1.11721	0.39326	0.69579	0.66002	0.83296	0.99534	1.39260	1.23713	0.64120	0.85377	1.19558	1.31875	0.85048	0.61156	0.60505	0.78006	0.64976	1.51028	1.30236
11	3.68352	2.36990	0.73011	0.92346	0.24258	0.49470	0.57693	0.57233	0.52274	2.69851	1.28592	0.65005	0.63177	0.81154	2.86873	1.30811	0.47536	0.38182	0.51086	0.25053	2.21874	1.17923
12	6.92983	1.82477	0.66009	0.88240	0.22449	0.33388	0.42352	0.52550	0.46566	2.32750	1.25377	0.58064	0.58338	0.80695	2.32147	1.14191	0.36306	0.25545	0.46112	0.23418	1.98950	1.12374
13	0.34205	2.96938	0.84709	0.92039	0.35708	2.04692	1.08171	0.78087	0.84512	1.67911	0.99042	4.01771	0.81250	0.95037	1.66628	0.81277	2.48950	1.69524	0.69599	0.60184	1.92006	1.04780
14	2.40330	4.07484	1.04108	1.13835	0.43332	2.39042	1.33303	1.04666	1.71151	0.99637	0.64589	0.16840	1.06527	1.31829	0.54123	0.52197	0.23878	0.28521	0.95621	1.64932	1.64695	0.96452
15	9.15090	1.46098	0.57737	0.97617	0.49596	1.05139	0.71005	0.52807	0.82448	1.21195	1.11803	2.04937	0.55530	1.04419	1.08457	0.74139	1.55405	1.33329	0.48132	0.56353	1.22910	1.13559
16	1.04579	5.27907	1.69245	0.96788	0.50405	12.66267	2.22177	1.73574	1.12734	1.21401	0.83402	1.59863	1.72834	1.04774	0.96721	0.70149	1.65578	1.67381	1.73179	1.19453	1.47247	0.88976
17	5.72954	0.92504	1.40522	1.09134	0.89982	1.21551	1.35486	1.43556	1.27531	1.00082	0.92719	1.12646	1.42112	1.18804	1.00700	0.76035	0.93988	0.85741	1.45542	1.43418	1.05085	0.95969
18	0.09772	2.87021	3.49888	1.18511	0.52630	4.12827	3.35655	3.75112	1.74672	0.33124	0.68321	0.50990	3.64013	1.43787	0.44448	0.32512	0.44109	0.39475	3.94376	1.87188	0.48377	0.93406
19	0.14242	1.80017	5.16925	1.18637	1.44436	0.97669	1.63132	5.57968	2.24218	0.02778	0.23871	0.49948	5.40931	1.44469	0.00000	0.31173	0.23530	0.10335	5.92804	2.92426	0.04378	0.51696
20	0.69051	1.87894	5.36867	1.22786	1.69435	0.25517	1.69354	5.79480	2.30439	0.00000	0.25289	0.08224	5.61400	1.49785	0.03359	0.28477	0.08803	0.09031	6.15428	3.40362	0.05221	0.37945
21	0.27881	2.16255	5.37137	1.21543	2.05206	0.58207	1.39588	5.80347	2.37252	0.00000	0.15640	0.09619	5.62399	1.50508	0.00000	0.19873	0.09437	0.09260	6.16691	3.51842	0.02171	0.31177
22	0.28835	4.90379	4.51413	1.12169	1.93955	1.43113	1.54809	4.87610	2.07807	0.03431	0.26451	0.29006	4.72476	1.36454	0.06836	0.28697	0.24265	0.22526	5.18103	3.03946	0.04812	0.38162
23	0.12093	2.81112	4.34673	1.15439	1.96678	2.03206	3.57312	4.67925	2.18905	0.45872	0.23044	1.25472	4.53526	1.42066	0.69221	0.26820	0.84205	0.63259	4.95885	3.30512	0.35058	0.32428
Base	100	1.2334326023	14.8947402536	75.2463468927	0.0069062086	0.0095748393	20.3546037987	13.7877947991	36.1148740980	1.1219987338	40.5397142510	1.4915803391	14.2278085441	58.7246759774	0.6756585893	17.1425486556	4.5558583348	3.1639318862	12.9683391447	21.4019523491	1.9581440963	55.0369208681
