E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23
1,0,0,2,0,0,1,22,2,4,3,4,0,4,2,0,5,0,0,0,0,0,0
0,1,0,3,0,0,1,24,0,1,0,6,1,2,7,0,3,0,1,0,0,0,0
0,2,0,5,0,1,0,27,0,3,0,5,0,1,4,1,0,0,0,0,1,0,0
1,0,0,2,0,0,1,29,0,1,2,2,0,1,7,0,1,0,0,2,0,1,0
0,1,0,3,0,1,0,28,2,2,0,0,0,1,4,0,6,0,1,1,0,0,0
0,0,0,3,0,0,0,23,2,2,4,2,0,1,8,1,3,0,0,1,0,0,0
1,1,2,1,0,0,0,34,0,2,2,2,0,1,2,2,0,0,0,0,0,0,0
1,0,1,7,0,0,1,26,0,2,1,2,0,2,2,0,4,0,0,0,0,1,0
1,0,1,3,0,0,1,32,1,0,1,3,0,3,1,0,2,0,0,0,0,1,0
1,1,0,3,0,1,1,26,1,0,1,5,0,1,5,0,3,0,0,0,1,0,0
1,2,0,0,0,0,0,21,2,1,4,4,1,3,7,0,3,0,0,0,0,1,0
0,0,0,3,0,0,0,25,0,4,3,2,0,2,7,0,3,0,0,0,1,0,0
1,1,0,3,1,0,1,29,0,1,2,3,0,1,4,0,2,0,0,0,0,1,0
0,0,0,0,0,1,0,27,1,3,1,1,0,1,9,0,4,0,1,0,0,0,1
0,3,0,3,1,0,0,19,1,1,3,7,0,1,5,0,1,0,0,3,0,2,0
0,2,1,4,0,1,0,26,1,3,1,2,0,4,2,0,2,0,0,1,0,0,0
0,0,1,5,0,0,1,30,0,1,0,3,0,1,6,0,2,0,0,0,0,0,0
2,0,1,1,0,0,2,24,0,2,4,1,2,0,4,1,4,0,1,0,1,0,0
0,0,0,3,0,0,0,31,1,3,0,4,0,1,4,1,2,0,0,0,0,0,0
0,1,0,2,0,1,1,27,1,0,2,3,0,3,2,0,7,0,0,0,0,0,0
0,0,1,1,0,0,3,25,1,1,2,4,0,2,4,0,1,1,0,1,0,3,0
1,0,0,4,0,0,1,24,0,5,2,3,1,1,5,0,2,0,0,0,0,1,0
1,0,1,2,0,0,1,18,1,1,4,2,0,2,8,1,3,0,0,2,0,1,2
0,2,0,1,1,0,0,24,0,4,0,4,1,1,5,0,5,0,0,1,1,0,0
0,4,1,2,0,1,0,29,0,1,0,2,0,1,3,0,5,0,0,1,0,0,0
1,0,0,3,0,0,1,24,0,1,2,7,0,1,5,3,2,0,0,0,0,0,0
1,0,1,3,1,0,1,22,3,1,0,5,0,0,4,1,7,0,0,0,0,0,0
0,0,0,5,0,1,1,24,0,1,3,2,0,1,7,0,2,0,0,2,1,0,0
0,1,1,2,0,0,0,22,0,2,3,4,0,3,7,0,4,0,0,0,1,0,0
0,1,0,3,0,1,0,26,2,1,4,5,1,0,4,0,2,0,0,0,0,0,0
0,0,1,4,0,0,0,22,4,3,2,1,0,1,8,1,1,1,1,0,0,0,0
1,1,0,5,0,0,1,25,0,0,3,2,0,1,3,0,6,0,0,2,0,0,0
0,2,1,6,0,1,1,21,0,0,0,4,0,1,7,1,3,0,1,1,0,0,0
2,0,0,4,1,0,0,25,1,4,2,3,0,2,2,0,2,0,0,1,0,1,0
1,1,0,2,0,0,2,20,0,2,5,2,0,0,6,1,6,0,1,0,1,0,0
0,1,2,4,1,0,2,19,0,2,2,4,0,2,8,0,2,1,0,0,0,0,0
0,1,0,0,0,0,4,24,0,0,0,8,0,3,5,1,3,0,0,0,0,1,0
0,2,0,2,1,0,0,20,1,3,2,4,1,2,8,1,2,0,0,1,0,0,0
0,0,0,2,1,2,2,23,0,2,1,5,1,2,6,0,3,0,0,0,0,0,0
1,1,0,2,0,0,3,24,3,4,2,3,0,0,5,0,2,0,0,0,0,0,0
0,1,1,3,0,0,1,28,0,1,0,4,0,2,2,0,6,0,0,1,0,0,0
0,1,0,3,0,0,1,29,0,1,2,1,0,1,4,0,7,0,0,0,0,0,0
0,0,1,5,0,1,1,20,1,3,2,4,0,1,5,1,3,0,0,1,1,0,0
1,0,0,5,1,0,1,20,1,1,3,3,0,0,7,0,3,0,0,1,0,1,2
0,1,0,3,1,0,3,26,1,2,0,5,1,2,4,0,1,0,0,0,0,0,0
0,1,0,3,0,1,0,25,2,1,1,10,0,0,5,0,1,0,0,0,0,0,0
0,0,0,4,0,0,0,23,1,2,4,6,0,0,6,1,3,0,0,0,0,0,0
0,0,0,3,1,2,0,32,0,3,1,2,0,1,1,0,3,0,0,1,0,0,0
1,1,0,6,0,2,0,18,1,2,3,7,0,2,3,1,0,0,0,2,0,1,0
2,0,1,2,1,2,0,23,1,4,1,1,1,2,4,0,4,0,0,1,0,0,0
0,2,1,8,0,0,0,23,0,1,1,2,0,1,6,0,5,0,0,0,0,0,0
0,0,1,4,0,0,1,23,0,6,3,2,0,1,2,2,3,0,0,1,0,1,0
0,1,0,3,0,0,0,26,1,3,3,5,0,1,2,1,4,0,0,0,0,0,0
0,0,0,1,0,0,1,29,0,3,1,4,1,0,5,1,2,0,0,1,0,1,0
1,0,0,3,0,0,0,27,1,2,2,2,0,2,4,1,4,0,0,0,1,0,0
1,1,0,0,0,0,1,31,1,3,1,2,0,2,3,0,3,0,0,0,0,1,0
1,3,0,3,0,0,2,27,1,2,3,3,0,1,2,0,2,0,0,0,0,0,0
1,1,0,3,0,1,2,24,0,2,2,3,0,3,7,0,1,0,0,0,0,0,0
0,1,0,4,0,0,1,26,1,0,1,1,1,0,5,2,6,0,0,1,0,0,0
0,0,0,4,0,0,0,29,0,3,2,3,0,1,4,1,1,0,0,0,1,1,0
1,0,0,4,0,0,0,27,2,2,0,3,0,0,4,0,6,0,0,1,0,0,0
0,2,0,2,0,0,1,29,0,0,2,4,0,0,3,1,5,0,0,1,0,0,0
1,1,0,1,1,0,3,25,1,2,3,5,0,1,3,0,2,0,0,1,0,0,0
1,0,0,2,0,0,1,27,1,1,3,3,0,2,3,0,4,0,0,1,0,0,1
0,0,0,4,0,0,2,26,0,0,4,4,0,3,5,0,1,0,0,0,0,1,0
0,3,0,5,0,0,0,22,1,1,4,3,0,4,3,0,3,0,0,0,0,1,0
0,2,0,1,0,0,0,27,2,1,2,3,0,2,3,0,6,0,0,1,0,0,0
0,1,0,1,1,0,0,27,0,2,4,5,0,1,4,0,3,0,0,0,0,1,0
1,1,1,1,0,0,1,25,1,2,3,6,1,0,5,0,2,0,0,0,0,0,0
0,1,0,6,0,2,1,23,0,2,2,0,0,3,7,1,2,0,0,0,0,0,0
0,1,0,4,1,0,1,26,0,1,5,2,0,0,5,1,2,0,1,0,0,0,0
0,0,0,0,0,0,1,28,0,3,3,3,0,0,10,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,34,1,1,1,3,0,2,4,0,2,0,0,0,0,0,0
1,1,0,3,0,0,0,26,0,5,1,3,0,1,5,1,2,0,0,1,0,0,0
0,0,1,1,1,0,1,35,1,2,0,2,0,0,5,0,1,0,0,0,0,0,0
0,0,0,2,0,3,3,23,0,1,3,2,1,2,6,4,0,0,0,0,0,0,0
0,1,0,2,1,0,1,29,0,0,4,4,0,3,3,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,20,0,4,3,6,1,3,5,0,7,0,0,0,0,0,0
0,1,0,2,1,0,3,20,0,1,3,4,0,1,6,1,6,0,0,1,0,0,0
0,0,0,3,0,0,1,25,2,3,2,6,0,1,3,0,3,0,0,0,0,1,0
0,2,0,1,0,0,3,30,0,1,5,2,0,2,1,1,1,0,0,1,0,0,0
1,0,0,4,0,0,1,25,2,1,2,5,0,0,4,0,3,0,0,2,0,0,0
0,2,0,3,0,0,3,26,1,1,3,1,0,2,1,3,4,0,0,0,0,0,0
0,0,0,2,0,0,2,25,0,2,3,6,0,0,6,0,3,1,0,0,0,0,0
