E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23
0,0,0,1,1,0,0,31,0,1,1,2,0,1,7,1,4,0,0,0,0,0,0
0,0,0,1,2,0,2,34,0,0,0,2,1,1,5,1,1,0,0,0,0,0,0
0,0,0,1,1,0,1,31,0,0,1,1,0,1,8,1,4,0,0,0,0,0,0
0,0,0,1,1,0,0,32,0,1,0,3,1,1,5,2,3,0,0,0,0,0,0
0,0,0,2,0,0,1,31,0,1,0,2,0,1,6,2,3,0,0,0,0,0,1
0,0,0,1,2,0,1,33,0,1,1,1,0,2,5,2,1,0,0,0,0,0,0
0,0,0,1,0,0,0,30,0,2,3,0,2,2,6,1,2,0,0,0,0,0,1
0,0,0,1,1,0,0,35,0,0,1,1,1,2,6,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,36,1,1,0,1,1,2,6,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,33,1,0,1,0,1,1,8,1,2,0,0,0,0,0,0
0,0,0,1,2,0,0,35,0,2,1,0,0,1,6,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,35,1,1,1,1,2,1,4,1,0,0,0,0,0,0,1
0,0,0,1,2,0,1,33,0,0,0,3,0,1,6,2,1,0,0,0,0,0,0
0,0,0,2,1,0,0,31,0,2,1,1,0,1,8,1,2,0,0,0,0,0,0
0,0,0,1,0,0,0,33,0,1,1,3,1,1,7,1,1,0,0,0,0,0,0
0,0,0,1,1,0,1,33,0,2,1,1,0,1,4,2,2,0,0,0,0,0,1
0,0,0,2,2,0,3,31,0,2,0,1,1,1,4,1,2,0,0,0,0,0,0
0,0,0,1,2,0,1,33,0,1,1,1,2,1,3,2,2,0,0,0,0,0,0
0,0,0,1,1,0,1,34,0,0,1,1,1,1,6,1,2,0,0,0,0,0,0
0,0,0,1,0,0,1,35,0,0,0,3,2,1,6,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,35,1,0,0,2,1,2,5,2,1,0,0,0,0,0,0
0,0,0,1,0,0,3,32,0,1,1,0,0,1,8,1,1,0,0,0,0,0,1
0,0,0,1,1,0,0,35,0,0,0,1,0,1,6,2,3,0,0,0,0,0,0
0,0,0,2,0,0,1,32,0,1,1,0,0,1,8,1,2,0,0,0,0,0,1
0,0,0,1,2,0,0,32,1,0,1,2,0,1,5,2,3,0,0,0,0,0,0
0,0,0,2,2,0,1,30,0,1,2,0,1,1,5,1,4,0,0,0,0,0,0
0,0,0,1,0,0,1,31,0,2,1,0,0,1,8,2,3,0,0,0,0,0,0
0,0,0,2,1,0,1,30,1,3,1,1,0,1,7,1,1,0,0,0,0,0,0
0,0,0,2,1,0,0,31,0,1,1,2,1,2,5,2,2,0,0,0,0,0,0
0,0,0,1,1,0,1,31,0,1,0,3,0,2,7,1,2,0,0,0,0,0,0
0,0,0,1,0,0,0,31,1,1,1,4,0,2,6,1,1,0,0,0,0,0,1
0,0,0,2,1,0,0,33,0,0,0,4,1,1,6,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,34,0,0,0,2,1,1,8,1,1,0,0,0,0,0,0
0,0,0,2,1,0,0,33,0,0,0,3,1,1,6,1,2,0,0,0,0,0,0
0,0,0,1,0,0,2,31,1,2,1,1,0,1,8,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,38,0,0,0,1,1,1,5,1,1,0,0,0,0,0,0
0,0,0,2,1,0,0,35,0,0,1,2,0,1,6,1,1,0,0,0,0,0,0
0,0,0,2,2,0,0,31,0,0,2,0,0,1,8,1,3,0,0,0,0,0,0
0,0,0,2,0,0,0,32,1,1,0,3,0,1,8,2,0,0,0,0,0,0,0
0,0,0,1,0,0,0,33,0,1,0,2,0,2,8,1,2,0,0,0,0,0,0
0,0,0,1,0,0,2,33,0,0,0,3,0,1,6,2,2,0,0,0,0,0,0
