E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23
1,3,0,3,0,2,1,28,1,0,1,4,0,0,4,0,1,0,0,0,0,0,1
1,2,1,0,0,2,1,28,0,0,3,4,0,2,5,0,1,0,0,0,0,0,0
0,0,0,5,1,0,1,28,3,0,1,0,1,0,9,1,0,0,0,0,0,0,0
0,0,0,2,0,0,3,26,1,0,3,2,1,2,8,0,1,0,0,0,1,0,0
0,1,0,4,1,0,1,26,0,1,1,2,2,2,6,1,1,0,0,0,0,1,0
2,0,0,1,1,1,1,26,0,2,0,3,1,1,8,2,0,0,0,1,0,0,0
0,0,0,3,0,0,1,28,0,1,2,4,0,2,6,1,1,0,0,0,1,0,0
1,0,0,1,0,0,0,29,1,1,1,3,0,3,8,1,1,0,0,0,0,0,0
0,1,1,3,0,0,1,25,0,2,2,4,2,2,7,0,0,0,0,0,0,0,0
0,1,0,4,1,0,1,28,0,3,0,3,0,3,4,1,1,0,0,0,0,0,0
0,1,1,3,0,0,4,30,0,1,1,2,0,1,4,1,1,0,0,0,0,0,0
1,3,0,5,1,0,0,18,1,3,4,4,0,2,6,0,1,0,0,0,0,1,0
0,0,0,2,1,0,2,27,0,1,4,5,0,1,6,0,0,1,0,0,0,0,0
0,0,0,2,0,0,0,33,0,1,1,2,0,1,8,1,1,0,0,0,0,0,0
0,2,0,5,0,0,0,23,0,0,1,6,0,1,10,0,1,0,0,1,0,0,0
0,0,0,2,1,0,0,33,0,2,3,1,0,0,7,0,0,0,0,1,0,0,0
0,1,2,1,2,1,0,27,0,3,2,3,1,2,5,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,34,0,1,2,4,1,2,4,0,0,0,0,0,0,0,0
0,1,0,2,1,0,1,23,1,3,1,7,0,1,8,0,1,0,0,0,0,0,0
1,0,2,1,0,1,0,27,0,0,1,5,1,3,7,1,0,0,0,0,0,0,0
0,1,0,5,0,0,1,29,1,0,1,5,0,0,5,1,1,0,0,0,0,0,0
1,1,1,4,0,0,0,33,0,0,1,3,0,1,5,0,0,0,0,0,0,0,0
1,2,0,4,0,0,2,30,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0
1,1,1,5,1,0,1,26,2,0,2,1,1,2,6,0,0,0,0,0,0,0,0
0,0,0,5,1,1,0,30,1,0,1,2,1,2,4,2,0,0,0,0,0,0,0
1,1,1,5,0,1,1,21,1,2,1,3,0,1,9,2,0,0,0,0,0,0,0
0,0,0,1,0,0,1,33,1,0,2,0,1,1,9,0,1,0,0,0,0,0,0
0,0,0,3,0,1,1,27,1,0,2,3,1,1,9,0,1,0,0,0,0,0,0
1,0,1,2,0,1,0,36,0,0,3,1,0,0,3,1,1,0,0,0,0,0,0
