E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23
0,0,0,1,1,0,1,36,0,1,2,1,1,0,5,0,1,0,0,0,0,0,0
0,0,0,1,2,0,1,37,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0
0,0,0,1,1,0,0,38,0,0,2,2,2,0,3,0,1,0,0,0,0,0,0
0,0,0,1,2,0,1,36,0,0,2,2,1,0,5,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,37,0,1,3,2,0,0,4,1,0,0,0,0,0,0,0
0,0,0,1,2,0,1,33,0,2,1,1,3,0,6,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,35,0,3,2,2,0,0,6,0,0,0,0,0,0,0,0
0,0,0,1,2,0,1,38,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,36,0,0,2,1,2,0,6,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,37,0,1,4,1,1,0,2,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,36,0,3,2,0,1,0,5,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,38,0,0,3,1,3,0,3,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,34,0,2,2,3,1,0,5,0,0,0,0,0,0,0,0
0,0,0,1,2,0,1,38,0,1,2,0,2,0,2,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,37,0,1,1,1,2,0,6,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,36,0,2,2,2,1,0,4,1,0,0,0,0,0,0,0
0,0,0,1,2,0,1,39,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,35,0,2,2,1,2,1,4,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,37,0,1,0,1,2,0,5,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,37,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,34,0,4,3,0,1,0,4,0,1,0,0,0,0,0,0
