State (Emission order)	Genome %	CpGIsland.bee.bed	beeExon.bee.bed	beeGene.bee.bed	beeTES.bee.bed	beeTSS.bee.bed	beeTSS2kb.bee.bed	expressed_exons.bee.bed	expressed_genes.bee.bed	expressed_introns.bee.bed	expressed_tes.bee.bed	expressed_tss.bee.bed	known_repeats.bed	repeat_regions.bed	repressed_exons.bee.bed	repressed_genes.bee.bed	repressed_introns.bee.bed	repressed_tes.bee.bed	repressed_tss.bee.bed	unknown_repeats.bed
1	1.08597	0.25067	5.29384	1.31233	1.78177	0.23483	3.69693	10.29221	7.54164	3.72272	6.54974	3.54064	0.07664	0.09609	0.87684	0.15978	0.06370	0.89990	0.41770	0.10075
2	4.46375	0.83164	4.84262	1.22573	3.08476	0.12049	1.03334	6.81551	5.19477	2.99775	4.91537	0.59195	0.05132	0.10550	3.12179	0.49889	0.14666	2.29840	0.25182	0.12046
3	3.16586	0.39894	2.92875	1.02661	6.45303	0.94759	1.55891	4.14041	3.93617	3.72070	5.98913	1.44034	2.09088	1.15349	1.87829	0.50887	0.33256	2.68458	0.82796	0.90343
4	1.78365	0.46517	4.03024	1.06021	1.35153	1.87429	3.31946	7.35577	5.40812	2.93031	5.07417	8.10845	4.40480	3.48283	1.14126	0.26734	0.14982	1.21319	1.16232	3.24495
5	1.14366	2.47122	4.43440	1.26388	0.92183	3.54344	3.89766	5.76909	5.07721	4.62512	3.17404	9.65332	0.09451	0.10279	3.27233	0.60070	0.33177	0.97314	3.89277	0.10453
6	2.13890	1.30364	2.18607	1.12188	0.62213	11.04495	3.75740	2.65174	3.24691	4.32179	1.59358	7.33270	1.04224	0.94826	1.77527	0.75089	0.69096	0.93473	3.90439	0.92639
7	6.22646	1.49566	0.74749	1.06052	0.52551	1.12968	1.11187	0.36547	0.81135	1.42951	0.38032	0.66537	1.62580	1.35550	1.08082	1.11320	1.15337	0.90461	1.16939	1.27915
8	0.10493	2.34665	2.94858	1.27033	1.16401	4.63983	4.09091	3.78873	5.23111	6.95530	4.11222	11.04199	0.14721	0.13167	2.17944	0.56071	0.39584	1.05298	3.27686	0.12593
9	76.75634	0.93787	0.43265	0.96340	0.64170	0.72345	0.74641	0.14252	0.27617	0.43303	0.35375	0.50927	0.92183	1.00945	0.68604	1.08659	1.13262	0.82857	0.92698	1.03302
10	0.93364	1.77246	0.72683	0.99014	1.48722	1.04788	0.83247	0.44633	0.70820	1.01902	0.96265	0.57030	1.90798	1.16866	0.97493	1.04127	1.05335	0.95762	0.96157	0.96400
11	0.09914	0.88300	4.14303	1.22958	5.77114	0.37417	2.01774	6.49666	5.64603	4.37332	6.17741	1.23095	0.19378	0.26439	2.06570	0.41764	0.19923	1.79526	0.43027	0.28036
12	2.09770	2.39291	3.41577	1.13803	2.12676	0.53491	1.14471	2.49285	2.73795	3.23354	2.11345	1.29672	0.08520	0.17251	4.22363	0.86389	0.44645	2.18087	0.57585	0.19431
Base	100	1.2334326023	14.8947402536	75.2463468927	0.0069062086	0.0095748393	20.3546037987	6.9823970706	11.8761828147	5.6396860152	4.7662193347	4.7236646413	1.1324179810	5.2762905189	7.9326662422	64.0569105150	58.4025419252	5.0917767460	5.0801450499	4.1929427570
