State (Emission order)	Genome %	CpGIsland.bee.bed	beeExon.bee.bed	beeGene.bee.bed	beeTES.bee.bed	beeTSS.bee.bed	beeTSS2kb.bee.bed	drone_expressed_exons.bed	drone_expressed_genes.bed	drone_repressed_exons.bed	drone_repressed_genes.bed	known_repeats.bed	queen_expressed_exons.bed	queen_expressed_genes.bed	queen_repressed_exons.bed	queen_repressed_genes.bed	repeats_regions.bed	unknown_repeats.bed	worker_expressed_exons.bed	worker_expressed_genes.bed	worker_repressed_exons.bed	worker_repressed_genes.bed
1	0.84436	2.74683	2.90997	1.21169	0.92121	9.45614	3.34703	3.10018	1.95058	0.48966	0.56125	0.33259	3.02079	1.46644	0.45042	0.35375	0.25014	0.22720	3.23829	2.48266	0.69808	0.74041
2	1.92016	0.89169	1.71985	1.19422	0.74992	1.22186	1.15260	1.80010	1.64464	0.73327	0.79995	0.49888	1.77243	1.37272	0.60018	0.57724	0.44289	0.44148	1.82567	1.68894	1.03086	1.02048
3	0.51173	4.82635	5.13637	1.24513	1.11803	6.21577	4.20539	5.54174	2.34314	0.01879	0.25521	0.37673	5.37036	1.54445	0.00591	0.21439	0.17780	0.08169	5.88711	3.52300	0.05658	0.36235
4	5.30603	0.64048	4.06586	1.19935	2.49695	0.30935	1.77438	4.37803	2.29654	0.02705	0.20357	0.14382	4.24385	1.47927	0.01812	0.22866	0.13198	0.12706	4.65505	3.52952	0.01408	0.28712
5	0.81588	3.38587	4.48857	1.14238	2.40311	0.71607	1.18516	4.84688	2.01130	0.20413	0.38778	0.37667	4.69710	1.41698	0.31344	0.22208	0.59019	0.67770	5.15206	2.67636	0.11932	0.56495
6	0.52891	1.98197	4.91893	1.21615	1.85957	0.97309	2.29746	5.30454	2.41451	0.01197	0.12117	0.09983	5.14143	1.53176	0.00000	0.10227	0.08941	0.08458	5.63921	3.71609	0.01029	0.23404
7	2.05366	1.94962	1.22804	1.14453	0.62291	3.12928	1.54195	1.27679	1.80088	0.60652	0.56310	0.35013	1.26882	1.37212	0.32245	0.35199	0.35809	0.39186	1.25747	1.96710	1.04914	0.84104
8	56.29954	0.32096	0.53576	0.96102	1.17128	0.74023	0.93106	0.51462	0.80635	0.80855	1.09702	1.12070	0.52143	0.88123	0.85167	1.23721	1.28466	1.35919	0.49843	0.74884	0.79070	1.04259
9	0.99074	0.88057	0.67393	1.08210	0.31794	0.55693	0.68697	0.62607	1.11830	1.30755	1.06046	0.60554	0.65488	1.22439	1.09577	0.58735	0.40236	0.30133	0.56260	0.70907	1.46293	1.23193
10	2.39784	2.39194	0.86924	1.11966	0.36192	0.67873	0.58443	0.83201	0.90546	1.34761	1.32009	1.05339	0.84556	1.19393	1.40549	0.86612	0.79796	0.68885	0.77811	0.58063	1.48845	1.33162
11	3.11816	1.21538	0.77622	0.94035	0.27213	0.47435	0.60251	0.62746	0.55478	2.65920	1.28914	1.33562	0.67651	0.85522	2.95835	1.24443	0.87828	0.64891	0.55571	0.30124	2.28718	1.18471
12	5.62557	1.78474	0.67709	0.83517	0.23768	0.33546	0.47816	0.51058	0.43186	2.74191	1.19591	0.68288	0.57059	0.66764	2.99294	1.40996	0.40518	0.26645	0.43708	0.19748	2.28537	1.07300
13	0.51956	1.31958	0.76157	0.93969	0.35881	0.92812	0.94859	0.69144	0.89133	1.62413	0.99370	5.38624	0.72286	0.98575	1.60360	0.78474	2.96625	1.75086	0.62292	0.63251	1.69518	1.06020
14	2.30254	3.30156	1.03854	1.14421	0.39086	1.85062	1.27603	1.04331	1.75992	0.98577	0.60969	0.16064	1.06399	1.35051	0.48185	0.43081	0.22056	0.26168	0.97701	1.78942	1.46413	0.91442
15	13.39186	1.95913	0.70292	0.99750	0.45170	1.03905	0.71169	0.65650	0.91731	1.29136	1.07475	1.23143	0.68491	1.08564	1.12049	0.68924	0.96967	0.85412	0.60208	0.60420	1.38227	1.14826
16	0.95970	5.02657	1.90465	1.03289	0.53586	8.91393	2.21771	1.97289	1.33859	1.07730	0.76584	0.99000	1.95609	1.16870	0.75306	0.56781	0.97926	0.96806	1.96601	1.39345	1.49755	0.90612
17	1.23254	1.63741	1.92050	1.14387	0.63630	1.45210	1.62283	1.99156	1.45678	0.98836	0.86470	1.14740	1.96252	1.31431	0.95837	0.55454	0.79630	0.64732	2.05327	1.75939	1.01072	0.90771
18	0.08315	1.10552	2.93610	1.16126	0.23192	2.39772	2.55053	3.04002	1.46278	1.60409	0.92609	0.68367	3.03163	1.36980	0.81785	0.42644	0.53146	0.45393	3.24146	1.35766	0.85724	1.12866
19	0.18216	0.67085	4.79234	1.11134	1.30575	0.71273	1.16191	5.17700	1.91594	0.04344	0.40575	1.00066	5.01519	1.34987	0.10822	0.30283	0.38801	0.08697	5.50319	2.65084	0.03112	0.52343
20	0.33876	1.59982	5.37651	1.22101	1.51809	0.31481	1.30479	5.80371	2.17325	0.03948	0.36463	0.11607	5.62604	1.47127	0.02017	0.36781	0.09194	0.07866	6.17298	3.21272	0.00335	0.44926
21	0.12850	2.13323	5.13156	1.19486	2.00100	0.64948	1.20371	5.54184	2.27886	0.00000	0.20860	0.06624	5.37045	1.48100	0.00000	0.18844	0.06764	0.06617	5.89202	3.39161	0.00000	0.33569
22	0.36058	2.92336	4.67335	1.14314	2.13933	1.10587	1.50991	5.04382	2.17021	0.02195	0.21856	0.27966	4.88913	1.41949	0.00911	0.18844	0.19463	0.15219	5.36189	3.24812	0.02458	0.32563
23	0.08806	3.72040	4.88249	1.18186	2.19003	2.05353	3.64713	5.30030	2.22924	0.23545	0.26620	0.99238	5.13638	1.46150	0.39100	0.23893	0.52609	0.30467	5.63082	3.40357	0.16401	0.33261
Base	100	1.2334326023	14.8947402536	75.2463468927	0.0069062086	0.0095748393	20.3546037987	13.7877947991	36.1148740980	1.1219987338	40.5397142510	1.4915803391	14.2278085441	58.7246759774	0.6756585893	17.1425486556	4.5558583348	3.1639318862	12.9683391447	21.4019523491	1.9581440963	55.0369208681
