State (Emission order)	Genome %	CpGIsland.bee.bed	beeExon.bee.bed	beeGene.bee.bed	beeTES.bee.bed	beeTSS.bee.bed	beeTSS2kb.bee.bed	expressed_exons.bee.bed	expressed_genes.bee.bed	expressed_introns.bee.bed	expressed_tes.bee.bed	expressed_tss.bee.bed	known_repeats.bed	repeat_regions.bed	repressed_exons.bee.bed	repressed_genes.bee.bed	repressed_introns.bee.bed	repressed_tes.bee.bed	repressed_tss.bee.bed	unknown_repeats.bed
1	1.08494	0.14763	5.39627	1.30846	1.25019	0.52994	4.25569	10.31783	7.41394	3.48237	5.96339	7.10398	0.20998	0.16270	1.07186	0.18556	0.06591	0.95420	0.71281	0.14854
2	5.00443	0.91378	5.04202	1.23149	2.80415	0.12879	1.14756	7.20247	5.27561	2.73036	4.86980	0.64140	0.06097	0.10263	3.15359	0.49183	0.13677	2.17493	0.24167	0.11366
3	2.24745	0.80136	3.35385	1.12060	4.11884	1.02742	1.52958	4.34944	3.93066	3.57517	4.57954	1.39581	3.41085	1.28681	2.49458	0.63084	0.39363	2.62083	0.89092	0.70762
4	0.89247	0.91042	3.44741	0.93837	1.27492	1.49627	2.69062	5.93859	4.24910	2.16145	4.23425	7.58105	8.19977	5.54883	1.28258	0.34103	0.21236	1.31331	1.19705	4.85733
5	1.21431	2.82602	4.63546	1.25464	0.94230	3.33727	3.63562	5.85526	4.83589	4.06964	2.75530	8.51179	0.09954	0.12652	3.58218	0.63637	0.33685	0.90632	3.62196	0.13343
6	2.06649	1.63755	2.25383	1.07702	0.60038	10.44920	3.40251	2.42643	2.63613	3.27879	1.28756	5.52545	1.93266	1.79562	2.10665	0.81152	0.73053	0.87137	3.87113	1.76086
7	9.50405	1.95920	0.68720	1.07976	0.38960	0.97378	0.94720	0.29250	0.64144	1.11868	0.26721	0.49252	0.61021	0.56924	1.03219	1.16350	1.21055	0.75214	0.97941	0.55579
8	0.07732	1.67363	3.26356	1.22285	0.41573	6.05712	3.74644	4.32719	4.63685	5.19737	3.10408	9.66599	0.41580	0.53087	2.33960	0.63243	0.44976	0.97346	3.41582	0.56012
9	74.15202	0.84384	0.44024	0.95498	0.80901	0.77768	0.78215	0.18982	0.33514	0.50335	0.49560	0.61318	0.97370	1.08432	0.65884	1.06567	1.11127	0.86910	0.94824	1.11443
10	1.13922	0.51630	0.52723	1.01276	1.20756	0.71226	0.84494	0.37637	0.61808	0.89574	0.72366	0.62629	1.88565	1.14102	0.65756	1.08361	1.13154	0.99024	0.95383	0.93590
11	0.16575	0.23626	4.55623	1.22810	3.21901	0.27974	1.89365	7.57074	5.90065	3.51286	5.76751	1.15765	0.12063	0.19808	1.87925	0.37169	0.17539	1.82881	0.43756	0.22192
12	2.45156	1.58606	2.94847	1.13592	2.52777	0.50688	1.54550	2.72829	3.51643	4.45259	3.17026	2.29372	0.06811	0.16836	3.13866	0.71005	0.40381	2.04639	0.61329	0.19503
Base	100	1.2334326023	14.8947402536	75.2463468927	0.0069062086	0.0095748393	20.3546037987	6.9823970706	11.8761828147	5.6396860152	4.7662193347	4.7236646413	1.1324179810	5.2762905189	7.9326662422	64.0569105150	58.4025419252	5.0917767460	5.0801450499	4.1929427570
