p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.323146896548566	0.379	0.34	0	0	LOC113219351
0	0.294125029388467	0.253	0.204	0	0	LOC409077
0	-0.250347363442301	0.086	0.251	0	0	LOC411154
0	-0.25044491080642	0.158	0.345	0	0	LOC725501
0	-0.250821561263037	0.103	0.276	0	0	LOC413246
0	-0.252365504571473	0.117	0.297	0	0	LOC409086
0	-0.253080023183893	0.427	0.675	0	0	LOC408951
0	-0.256926217474257	0.228	0.459	0	0	LOC726178
0	-0.257889667176903	0.113	0.296	0	0	LOC726949
0	-0.258263375429593	0.126	0.312	0	0	LOC552166
0	-0.258707678135047	0.114	0.297	0	0	LOC552528
0	-0.259257735938363	0.088	0.256	0	0	LOC413197
0	-0.261200169788345	0.123	0.31	0	0	LOC100576878
0	-0.264129941922905	0.091	0.261	0	0	Usp
0	-0.264246668041064	0.086	0.256	0	0	LOC727150
0	-0.264469007971012	0.112	0.297	0	0	LOC409395
0	-0.264502293145629	0.093	0.264	0	0	LOC408792
0	-0.266340207524471	0.28	0.517	0	0	LOC551031
0	-0.266645091517304	0.093	0.265	0	0	LOC724831
0	-0.268607790789632	0.178	0.389	0	0	LOC409804
0	-0.269266665960134	0.711	0.898	0	0	LOC411083
0	-0.273175012712721	0.532	0.783	0	0	LOC408465
0	-0.273877826235729	0.085	0.26	0	0	LOC100578947
0	-0.274035559086012	0.232	0.433	0	0	LOC408863
0	-0.274151612609026	0.102	0.285	0	0	LOC552814
0	-0.274268675567445	0.271	0.496	0	0	LOC726472
0	-0.27522996329886	0.091	0.269	0	0	LOC413834
0	-0.27688387219974	0.101	0.283	0	0	LOC100577004
0	-0.276915649159479	0.26	0.505	0	0	LOC725453
0	-0.277285309346842	0.088	0.266	0	0	LOC409470
0	-0.278404286353822	0.111	0.301	0	0	LOC113219404
0	-0.278563706247462	0.097	0.282	0	0	LOC100578826
0	-0.27861834832156	0.127	0.321	0	0	Hsc70-3
0	-0.279036773623621	0.098	0.281	0	0	LOC408936
0	-0.279295683183916	0.078	0.25	0	0	MT-LOC408286
0	-0.279357321153153	0.164	0.371	0	0	LOC100577769
0	-0.28037804572439	0.109	0.298	0	0	MT-LOC412750
0	-0.282925006334935	0.081	0.256	0	0	LOC725070
0	-0.28356481257962	0.094	0.266	0	0	LOC100576805
0	-0.28576279862464	0.147	0.341	0	0	LOC725901
0	-0.285930747231767	0.163	0.377	0	0	LOC409004
0	-0.286072645922611	0.083	0.26	0	0	LOC113218664
0	-0.286463182960321	0.411	0.658	0	0	LOC408372
0	-0.286652259730004	0.262	0.5	0	0	LOC409963
0	-0.287350158490941	0.099	0.273	0	0	LOC551098
0	-0.288656270274479	0.093	0.277	0	0	LOC726030
0	-0.288795895782119	0.097	0.282	0	0	LOC726187
0	-0.289907324257471	0.091	0.271	0	0	Csd
0	-0.290642120562267	0.528	0.779	0	0	LOC726924
0	-0.291628377315755	0.084	0.257	0	0	LOC551375
0	-0.291899818404018	0.104	0.298	0	0	LOC409456
0	-0.292803443475203	0.088	0.272	0	0	LOC724599
0	-0.293723236703717	0.163	0.382	0	0	LOC410165
0	-0.295296100482302	0.172	0.399	0	0	LOC726543
0	-0.297034151264164	0.082	0.264	0	0	LOC100577846
0	-0.297211177517208	0.122	0.328	0	0	LOC409323
0	-0.298654914030988	0.125	0.327	0	0	LOC408811
0	-0.300196301477888	0.296	0.557	0	0	LOC408614
0	-0.300375628148818	0.181	0.411	0	0	LOC409539
0	-0.303500903201196	0.089	0.28	0	0	LOC551673
0	-0.304367510572719	0.21	0.453	0	0	LOC724593
0	-0.304741235187842	0.146	0.367	0	0	LOC410085
0	-0.307366359140829	0.087	0.278	0	0	LOC725179
0	-0.308261228194391	0.098	0.294	0	0	LOC494508
0	-0.308650297524804	0.112	0.316	0	0	LOC726053
0	-0.309222035263529	0.13	0.343	0	0	LOC550716
0	-0.309981156321646	0.074	0.255	0	0	LOC409682
0	-0.310055408655742	0.081	0.258	0	0	LOC725190
0	-0.312942153870524	0.076	0.26	0	0	LOC551435
0	-0.313522701080732	0.07	0.253	0	0	LOC413683
0	-0.314070687604663	0.096	0.292	0	0	LOC411494
0	-0.315324209951519	0.073	0.254	0	0	LOC552265
0	-0.315378189239827	0.073	0.255	0	0	LOC411854
0	-0.316211810952959	0.134	0.352	0	0	LOC408721
0	-0.31627615931286	0.09	0.285	0	0	LOC413409
0	-0.316453510771191	0.158	0.369	0	0	LOC406096
0	-0.31659748292067	0.069	0.25	0	0	LOC412941
0	-0.317478374874983	0.08	0.267	0	0	LOC411758
0	-0.317542034684506	0.145	0.367	0	0	LOC409956
0	-0.317783704139489	0.194	0.437	0	0	LOC726991
0	-0.319007985893672	0.167	0.399	0	0	LOC551291
0	-0.319785518494071	0.078	0.267	0	0	LOC724816
0	-0.32000615191039	0.093	0.294	0	0	LOC412508
0	-0.320125814462504	0.071	0.256	0	0	LOC725436
0	-0.323834292458891	0.08	0.261	0	0	MT-rnd-6-family-3082#Unknown
0	-0.324839831139848	0.088	0.283	0	0	LOC552002
0	-0.325226828528645	0.079	0.272	0	0	LOC551881
0	-0.326486599201063	0.079	0.272	0	0	LOC410487
0	-0.327936427485267	0.099	0.305	0	0	LOC552303
0	-0.329322464997912	0.064	0.251	0	0	LOC726307
0	-0.330060252957223	0.134	0.339	0	0	LOC410373
0	-0.331619273871863	0.621	0.872	0	0	LOC410689
0	-0.331633250902668	0.206	0.453	0	0	LOC408971
0	-0.333607647903212	0.09	0.295	0	0	LOC409350
0	-0.334365980707939	0.164	0.406	0	0	LOC726060
0	-0.334524681195125	0.1	0.31	0	0	LOC409559
0	-0.33483585634534	0.137	0.358	0	0	Ef-1a-f1
0	-0.33751572270157	0.531	0.803	0	0	LOC411114
0	-0.337718986606263	0.088	0.291	0	0	LOC725528
0	-0.338257971474054	0.091	0.326	0	0	LOC408905
0	-0.338321836004528	0.068	0.258	0	0	LOC412943
0	-0.338631576000094	0.069	0.26	0	0	LOC724660
0	-0.339925537834825	0.074	0.273	0	0	LOC726272
0	-0.340459714170656	0.147	0.381	0	0	LOC107966041
0	-0.340632412340266	0.179	0.429	0	0	LOC551446
0	-0.340930306388468	0.068	0.259	0	0	LOC411457
0	-0.341149855431665	0.437	0.708	0	0	LOC409791
0	-0.341961622380708	0.159	0.4	0	0	LOC409713
0	-0.342813553179673	0.076	0.265	0	0	LOC410467
0	-0.345083922431136	0.075	0.273	0	0	LOC725379
0	-0.345245235890884	0.069	0.268	0	0	LOC102656765
0	-0.345321130265695	0.58	0.84	0	0	LOC408722
0	-0.346301404285888	0.078	0.27	0	0	Amih
0	-0.349709332313997	0.072	0.269	0	0	LOC409024
0	-0.349938890328568	0.064	0.252	0	0	Rfwd3
0	-0.349983968789957	0.1	0.316	0	0	LOC410717
0	-0.3500105343858	0.12	0.343	0	0	LOC102654994
0	-0.3501675889547	0.195	0.452	0	0	LOC410201
0	-0.350190085233937	0.059	0.288	0	0	rnd-1-family-1#DNA/TcMar-Mariner
0	-0.350379127967098	0.07	0.271	0	0	LOC409888
0	-0.350445247426656	0.069	0.268	0	0	LOC413912
0	-0.350620191495229	0.12	0.346	0	0	LOC409366
0	-0.35492205714502	0.075	0.269	0	0	LOC413784
0	-0.35540835899993	0.546	0.823	0	0	LOC408809
