State (Emission order)	ATAC-seq	H3K27ac	H3K27me3	H3K4me1	H3K4me3	RNA-Seq
1	0.1227342747870921	0.948460943883114	0.0184465185817374	0.1388506857266162	0.987971228202698	0.0164432995531727
2	0.0488782264844914	0.997529383579364	0.0922856935210928	0.946517333529763	0.7690385403978853	0.3262352765330781
3	0.9126579686839608	0.9987142499081032	0.0040578692545769	0.0179735001752073	0.985107136639346	0.9585512683097372
4	0.0085833161439215	1.32916498841399e-07	0.0020121761932768	0.0045588459877912	0.0074825055208018	0.9369894075946388
5	0.4701436313564617	0.0148213270962075	0.309549049034269	0.1746985373050861	0.0534891326361504	0.792469573446716
6	0.0492735125127007	0.889536898716926	0.0118892288678218	2.9694467477280683e-18	0.1055127449300672	0.9584046477953448
7	0.0622488305863168	0.9343798072808356	0.0105584561973727	4.660864305749883e-13	0.0647389412388141	0.0008818279338569693
8	0.0005943181331609474	0.0015659956867621	0.001305837301908	9.491573131164958e-20	5.739588867139801e-13	7.788968277300817e-05
9	0.1084422920061973	0.785342165071712	0.8001924484277304	0.5666930318166377	0.1366819119016129	0.0012651533832906
10	0.0301095230601285	0.0972767632435368	0.3103781418091721	0.6090925726568472	0.3415961967777063	0.0009047134287987404
11	0.0184994915962078	0.2008016913495616	0.9922321840699848	0.9081732997723104	0.8037555872932798	0.0006160620584847032
12	0.0069392837248785	0.0042570518994197	0.7419867783268496	0.1330842963940312	0.1086626267269452	0.00016546713320263255
13	0.854504536344179	0.8238137919435492	0.8421941969329151	0.8832787005509087	0.7162413611973514	0.0061318938198159
14	0.847969941308662	0.9889715103875024	0.0185468249130478	0.9287772874378556	0.2296397936915026	0.0022070744112056
15	0.301064839794438	0.0017112222937231	0.0896489455592606	0.0261352218191398	0.007957422075669	0.00045807543081011535
16	0.8504847605235514	0.1356577422216017	0.0815730047024446	0.1285323035746622	0.7463884806248835	0.006878266208679
17	0.0052443250309388	0.0881923846065776	0.0102906250257669	0.0200406934430926	0.5122299428246003	0.0842281533093898
18	0.3845961717881134	0.8438329769380312	0.7830965456750684	0.1870126593893715	0.9500564562139108	0.3561635393967809
19	0.1009536527917717	0.9528512025183822	0.8546369037856016	0.8828019299123099	0.7541408834936096	0.8746982539540806
20	0.0404468291910783	0.1609444342250339	0.0244424875532383	0.7534504319939805	0.3893070739465603	0.957950168523556
21	0.047460288305378	0.9098093076556408	0.027583245787694	0.9999999999999838	0.0010063658394742	0.9473402980263156
22	0.6710925766153713	0.5389457696968002	0.1414972786476171	0.7751131799451223	0.4801192357440784	0.9203517767923418
23	0.7747033803639696	0.1584608585471613	0.0108660477553124	0.0369655838824947	0.8761919578517887	0.8361523145190717
