		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[

DNA	Merlin	0	0	0	0	0	0	0	0	0	65	0	0	0	506	61	356	567	1346	878	2245	1700	1439	2183	1646	777	1175	850	0	552	6	0	0	0	0	0	0	0	0	0	0
RC	Helitron	0	0	0	0	0	0	308	850	681	2601	2764	3580	17756	13659	14231	20296	35159	40437	31404	33980	32018	29108	42229	55443	42305	22556	14499	18193	7058	433	8	92	153	0	0	0	0	0	0	0
DNA	TcMar-Tc1	1148	2872	4129	6949	13562	26618	37819	30717	22770	16589	12747	12357	52099	177531	425449	160265	194393	113280	63303	40050	27197	21561	34260	30957	35740	23781	14590	6100	3955	3536	1046	677	2698	771	95	273	0	0	0	0
DNA	CMC-EnSpm	3669	102056	5056	323	10312	7640	5056	485	1756	335	1273	1209	2310	1914	1185	1062	1201	1888	489	161	385	182	100	33	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Gypsy	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	27	197	0	253	177	672	115	965	1357	385	743	854	988	920	642	0	21	183	0	0	0	0	0	0
DNA	hAT-Ac	0	0	964	10309	26600	75654	32062	28521	83640	39981	24404	32708	36056	27680	31695	14413	25616	44290	16628	9127	3440	5833	4377	2322	2794	1857	863	0	522	342	265	0	0	0	0	0	0	0	0	0
DNA	Sola-2	0	3763	36	0	353	3137	2046	3269	7059	5171	6382	15575	7739	3855	3566	4366	5033	5752	4520	2455	5257	2190	4871	2772	1061	276	387	0	308	132	86	0	30	0	0	0	0	0	0	0
LTR	Copia	0	3751	5365	14688	11519	8942	5747	10517	4981	5515	14006	6974	25587	24562	13573	25156	32404	38097	46525	18777	26626	19917	15967	7979	3827	4904	1890	1985	110	50	72	190	92	0	0	0	0	0	0	0
DNA	TcMar-Mariner	3458	42252	313569	328397	129592	42466	32758	10898	8802	18331	20072	19088	25555	31450	23800	23838	20645	23904	19432	18577	19215	17050	10969	7775	8803	8697	5974	5199	4086	1620	1508	1174	1213	1296	317	0	0	0	0	0
Unknown	Unknown	100741	84117	109706	332477	263850	295257	295204	643878	356749	324186	256465	311936	292912	361023	1803907	2873933	474337	458912	507353	520264	476619	456054	376301	321571	255839	206586	148326	97341	64585	47903	25534	17592	10231	6275	2807	2491	332	264	0	0
DNA	DNA	0	0	0	0	0	0	6096	29238	9411	2930	4722	1025	381	1234	750	5650	1405	3326	1202	1132	6511	769	1445	3089	2962	2853	4368	5837	4363	3803	3681	1263	1103	736	1470	560	708	111	0	0
DNA	TcMar-Tigger	0	0	0	0	0	93	33	417	260	871	1207	1553	1156	1414	1693	1246	797	1279	682	233	173	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	PiggyBac	0	0	41	120	467	595	1881	2756	2498	4130	4101	7676	9063	10441	13900	12132	9473	8804	14392	8694	5996	7558	3385	2535	1339	695	306	103	0	391	758	0	0	0	0	0	0	0	0	0
