			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[

rnd-1_family-30	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	167	0	167	314	168	499	337	192	0	0	158	0	162	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-6680	Unknown	Unknown	0	0	0	0	1984	500	500	1979	85	3002	4147	1215	1178	969	1013	2256	8919	4222	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-975	Unknown	Unknown	0	0	0	426	44	1136	5518	71	7055	2208	0	94	264	100	324	1314	1964	3803	5830	7345	3807	5371	4858	6334	6714	5177	4294	4724	2473	1159	766	485	149	18	97	0	0	0	0	0
rnd-5_family-337	Unknown	Unknown	0	0	0	31	0	0	63	73	0	0	0	198	832	600	700	1699	2059	578	2240	2208	3103	1588	994	1036	755	0	129	151	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-546	DNA	PiggyBac	0	0	41	120	57	196	197	1512	1656	2763	1822	7202	8444	9578	13811	11885	9473	8804	14392	8694	5996	7558	3153	2301	959	695	117	103	0	391	758	0	0	0	0	0	0	0	0	0
rnd-1_family-60	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-945	DNA	TcMar-Mariner	0	0	150	2380	838	2273	23523	3965	598	3099	4426	4097	6032	4315	2532	4914	4951	7207	7488	8986	7794	6185	3202	1224	427	917	346	209	61	0	52	45	65	0	184	0	0	0	0	0
rnd-1_family-52	Unknown	Unknown	0	0	0	0	0	0	188	0	0	2469	2258	7959	5735	1491	760	1857	1146	3563	3911	2864	4957	4228	1879	1434	483	699	442	354	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-429	Unknown	Unknown	0	0	0	0	0	0	147	110	98	319	369	330	391	122	170	234	0	194	307	63	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
