State (Emission order)	Genome %	CpGIsland.bee.bed	beeExon.bee.bed	beeGene.bee.bed	beeTES.bee.bed	beeTSS.bee.bed	beeTSS2kb.bee.bed	drone_expressed_exons.bed	drone_expressed_genes.bed	drone_repressed_exons.bed	drone_repressed_genes.bed	known_repeats.bed	queen_expressed_exons.bed	queen_expressed_genes.bed	queen_repressed_exons.bed	queen_repressed_genes.bed	repeats_regions.bed	unknown_repeats.bed	worker_expressed_exons.bed	worker_expressed_genes.bed	worker_repressed_exons.bed	worker_repressed_genes.bed
1	0.75708	2.77564	2.95743	1.19863	1.20572	12.59189	3.68166	3.15030	2.03395	0.50461	0.45920	0.32324	3.06492	1.44558	0.54175	0.35895	0.24946	0.21804	3.27988	2.70220	0.78141	0.64046
2	2.43660	0.71039	1.76109	1.20099	0.75982	1.44624	1.26487	1.84059	1.76036	0.78731	0.70846	0.46008	1.81538	1.38808	0.62129	0.55710	0.40710	0.40314	1.85367	1.85197	1.16568	0.96552
3	0.52025	4.99772	5.05714	1.24232	0.98850	5.75743	4.15595	5.45655	2.30911	0.00593	0.29404	0.32822	5.28797	1.53927	0.00000	0.24962	0.15923	0.07983	5.79785	3.41947	0.04449	0.41266
4	6.00136	0.74996	4.02144	1.18349	2.53543	0.29359	1.69958	4.32948	2.23540	0.04056	0.22873	0.13852	4.19798	1.46167	0.01485	0.21602	0.13227	0.13033	4.60390	3.39364	0.01922	0.31795
5	0.76727	4.33245	4.39788	1.15975	2.22024	0.83395	1.12094	4.74845	1.87595	0.23965	0.54674	0.41764	4.60387	1.43014	0.32782	0.26724	0.67843	0.78591	5.04486	2.34040	0.15924	0.72254
6	0.51002	1.49672	4.63511	1.17554	1.91584	0.83640	1.87221	5.00034	2.30829	0.02405	0.14559	0.13177	4.84738	1.47595	0.00451	0.12333	0.12719	0.12771	5.31619	3.50565	0.01569	0.26923
7	1.76411	1.41950	1.08390	1.13945	0.71786	2.84388	1.56227	1.10982	1.85518	0.75510	0.50486	0.37969	1.11472	1.35591	0.40945	0.39048	0.39413	0.43061	1.07428	2.03676	1.15380	0.80669
8	56.28564	0.30319	0.53589	0.96232	1.15706	0.75631	0.94239	0.51208	0.81237	0.84217	1.09424	1.07388	0.51911	0.87847	0.90292	1.25252	1.23950	1.31520	0.49375	0.75395	0.82446	1.04271
9	0.82698	1.34803	0.60458	1.03410	0.21765	0.55507	0.63481	0.53688	1.09593	1.46966	0.98236	0.41289	0.57575	1.13781	1.21867	0.66454	0.29055	0.22852	0.46183	0.65373	1.56547	1.18532
10	3.22835	2.45766	0.77616	1.12455	0.25687	0.60466	0.53523	0.72829	0.88558	1.41009	1.34938	1.04753	0.74609	1.21050	1.44807	0.83270	0.71848	0.56535	0.66608	0.51678	1.53192	1.36315
